Store_ID,SKU_ID,Current_Stock,Avg_Weekly_Demand,Demand_StdDev,Max_Shelf_Capacity,Total_Shelf_Space,Holding_Cost_per_Unit,Stockout_Penalty,Spoilage_Risk
STR001,SKU0001,33,61,15.27,59,902,2.87,3.01,0.54
STR001,SKU0002,8,24,3.07,28,902,1.21,4.18,0.24
STR001,SKU0003,35,81,13.74,65,902,2.54,3.45,0.54
STR001,SKU0004,41,70,12.45,57,902,1.19,2.82,0.52
STR001,SKU0005,17,30,6.07,29,902,0.68,3.26,0.82
STR001,SKU0006,27,92,26.3,85,902,2.53,4.32,0.51
STR001,SKU0007,77,96,26.39,92,902,1.63,3.4,0.64
STR001,SKU0008,55,84,10.66,100,902,1.48,3.33,0.74
STR001,SKU0009,34,84,11.3,93,902,1.57,4.67,0.53
STR001,SKU0010,102,97,16.64,111,902,2.03,4.91,0.38
STR001,SKU0011,13,33,5.22,31,902,1.16,3.34,0.83
STR001,SKU0012,5,12,2.68,10,902,1.09,4.15,0.83
STR001,SKU0013,21,31,8.7,34,902,1.71,5.18,0.83
STR001,SKU0014,28,62,18.13,69,902,0.59,4.91,0.39
STR001,SKU0015,10,11,2.54,11,902,2.11,2.74,0.42
STR001,SKU0016,53,97,25.96,112,902,2.56,3.76,0.84
STR001,SKU0017,16,39,8.0,46,902,2.32,5.03,0.29
STR001,SKU0018,32,47,6.66,46,902,1.67,3.13,0.66
STR001,SKU0019,0,11,2.25,9,902,1.91,3.19,0.4
STR001,SKU0020,52,73,15.4,73,902,0.57,4.71,0.7
STR001,SKU0021,63,69,17.15,82,902,2.78,3.49,0.78
STR001,SKU0022,8,30,4.32,27,902,1.9,3.63,0.49
STR001,SKU0023,22,42,7.29,43,902,1.29,4.33,0.31
STR001,SKU0024,26,85,14.69,91,902,1.23,5.13,0.71
STR001,SKU0025,40,67,19.56,59,902,2.15,4.24,0.24
STR001,SKU0026,31,31,5.85,32,902,1.96,5.63,0.21
STR001,SKU0027,64,98,24.6,90,902,0.97,2.87,0.81
STR001,SKU0028,31,58,14.51,66,902,1.52,5.14,0.77
STR001,SKU0029,11,68,10.41,73,902,2.19,4.4,0.61
STR001,SKU0030,18,51,10.93,57,902,1.24,5.36,0.67
STR001,SKU0031,38,69,19.24,60,902,1.77,3.61,0.87
STR001,SKU0032,55,89,17.36,72,902,1.14,4.19,0.24
STR001,SKU0033,16,24,6.94,27,902,0.68,5.38,0.35
STR001,SKU0034,50,71,10.15,67,902,1.47,5.41,0.71
STR001,SKU0035,35,71,8.15,61,902,2.33,3.82,0.38
STR001,SKU0036,34,56,15.58,46,902,1.03,5.38,0.35
STR001,SKU0037,33,71,19.14,71,902,2.39,4.89,0.51
STR001,SKU0038,19,60,17.91,51,902,2.17,3.93,0.71
STR001,SKU0039,25,64,15.1,65,902,1.77,5.89,0.35
STR001,SKU0040,55,73,20.98,79,902,2.93,2.61,0.5
STR001,SKU0041,0,12,3.18,12,902,2.71,3.84,0.56
STR001,SKU0042,6,60,16.13,69,902,1.91,3.57,0.32
STR001,SKU0043,20,16,3.42,13,902,1.89,5.78,0.53
STR001,SKU0044,14,30,5.29,29,902,1.19,2.85,0.81
STR001,SKU0045,83,82,23.53,70,902,2.8,4.7,0.72
STR001,SKU0046,28,48,8.95,55,902,2.74,5.01,0.55
STR001,SKU0047,13,27,5.61,31,902,2.36,3.14,0.29
STR001,SKU0048,9,13,2.46,12,902,0.82,3.02,0.22
STR001,SKU0049,60,98,20.87,90,902,2.26,2.67,0.25
STR001,SKU0050,39,69,13.39,62,902,1.13,3.06,0.73
STR001,SKU0051,13,23,2.52,26,902,0.97,5.33,0.69
STR001,SKU0052,12,18,4.98,19,902,2.4,5.8,0.72
STR001,SKU0053,46,99,18.7,114,902,2.9,5.65,0.42
